sent_id	word	pos	tag
1	Casser	VERB	O
1	le	DET	O
1	chocolat	NOUN	B-INGRED
1	et	CCONJ	O
1	faire	AUX	O
1	fondre	VERB	O
1	doucement	ADV	O
1	avec	ADP	O
1	la	DET	O
1	margarine	NOUN	B-INGRED
1	.	PUNCT	O
2	Ajouter	VERB	O
2	du	DET	O
2	sucre	NOUN	O
2	(	PUNCT	O
2	selon	ADP	O
2	les	DET	O
2	goûts	NOUN	O
2	!	PUNCT	O
2	)	PUNCT	O
2	,	PUNCT	O
2	mettre	VERB	O
2	les	DET	O
2	corn	NOUN	B-INGRED
2	flakes	X	I-INGRED
2	dans	ADP	O
2	un	DET	O
2	saladier	NOUN	O
2	puis	CCONJ	O
2	verser	VERB	O
2	le	DET	O
2	chocolat	NOUN	B-INGRED
3	dessus	ADV	O
4	.	PUNCT	O
5	Bien	ADV	O
5	remuer	VERB	O
5	,	PUNCT	O
5	puis	CCONJ	O
5	faire	VERB	O
5	des	DET	O
5	petits	ADJ	O
5	tas	NOUN	O
5	sur	ADP	O
5	du	DET	O
5	papier	NOUN	O
5	cuisson	NOUN	O
5	ou	CCONJ	O
5	alu	NOUN	O
5	et	CCONJ	O
5	mettre	VERB	O
5	au	ADP	O
5	frigidaire	NOUN	O
5	quelques	DET	O
5	heures	NOUN	O
5	ou	CCONJ	O
5	une	DET	O
5	nuit	NOUN	O
5	.	PUNCT	O
6	On	PRON	O
6	peut	VERB	O
6	ajouter	VERB	O
6	un	DET	O
6	peu	NOUN	O
6	de	ADP	O
6	sucre	NOUN	O
6	glace	ADJ	O
6	avant	ADP	O
6	de	ADP	O
6	les	PRON	O
6	manger	VERB	O
6	.	PUNCT	O
7	Saler	VERB	O
7	et	CCONJ	O
7	poivrer	VERB	O
7	l'	DET	O
7	intérieur	NOUN	O
7	du	ADP	O
7	canard	NOUN	B-INGRED
7	.	PUNCT	O
8	Y	PRON	O
8	ajouter	VERB	O
8	le	DET	O
8	bouquet	NOUN	B-INGRED
8	garni	ADJ	I-INGRED
8	.	PUNCT	O
9	Le	PRON	O
